Date,Close
6/02/2014,31.25
7/02/2014,32.31
10/02/2014,33.96
11/02/2014,34.07
12/02/2014,32.88
13/02/2014,33.47
14/02/2014,33.72
18/02/2014,33.68
19/02/2014,32.32
20/02/2014,34.19
21/02/2014,34.28
24/02/2014,34.3
25/02/2014,33.59
26/02/2014,32.99
27/02/2014,32.8
28/02/2014,32.12
3/03/2014,32.53
4/03/2014,32.47
5/03/2014,32.58
6/03/2014,33.16
7/03/2014,32.38
10/03/2014,32.26
11/03/2014,32.57
12/03/2014,34.07
13/03/2014,34.84
14/03/2014,34.62
17/03/2014,33.71
18/03/2014,33.25
19/03/2014,32.16
20/03/2014,32.46
21/03/2014,32.36
24/03/2014,30.83
25/03/2014,31.09
26/03/2014,30.08
27/03/2014,30.66
28/03/2014,31.29
31/03/2014,30.25
1/04/2014,30.18
2/04/2014,30.63
3/04/2014,30.45
4/04/2014,30.9
7/04/2014,31.05
8/04/2014,31.91
9/04/2014,31.4
10/04/2014,31.3
11/04/2014,31
14/04/2014,31.59
15/04/2014,30.49
16/04/2014,27.88
17/04/2014,28.39
21/04/2014,27.28
22/04/2014,27.47
23/04/2014,28.48
24/04/2014,28.29
25/04/2014,29.05
28/04/2014,28.9
29/04/2014,29.64
30/04/2014,29.56
1/05/2014,29.59
2/05/2014,32.31
5/05/2014,32.03
6/05/2014,32.47
7/05/2014,32.13
8/05/2014,32.38
9/05/2014,32.51
12/05/2014,33.4
13/05/2014,32.82
14/05/2014,33.15
15/05/2014,32.77
16/05/2014,32.39
19/05/2014,32.5
20/05/2014,32.1
21/05/2014,32.18
22/05/2014,32.35
23/05/2014,32.09
27/05/2014,30.22
28/05/2014,29.74
29/05/2014,29.75
30/05/2014,30.24
2/06/2014,30.43
3/06/2014,30.48
4/06/2014,30.37
5/06/2014,30.72
6/06/2014,30.7
9/06/2014,30.7
10/06/2014,31.51
11/06/2014,31.93
12/06/2014,32.98
13/06/2014,33.29
16/06/2014,33.46
17/06/2014,33.96
18/06/2014,35.28
19/06/2014,37.11
20/06/2014,37.3
23/06/2014,37.74
24/06/2014,36.76
25/06/2014,37.42
26/06/2014,37.28
27/06/2014,37.63
30/06/2014,38.3
1/07/2014,37.96
2/07/2014,38.82
3/07/2014,38.29
7/07/2014,38.08
8/07/2014,38.94
9/07/2014,40.39
10/07/2014,39.69
11/07/2014,40.84
14/07/2014,40.41
15/07/2014,39.42
16/07/2014,40.1
17/07/2014,41.63
18/07/2014,41.75
21/07/2014,41.52
22/07/2014,41.11
23/07/2014,41.17
24/07/2014,40.75
25/07/2014,41.82
28/07/2014,42.12
29/07/2014,41.32
30/07/2014,40.76
31/07/2014,37.19
1/08/2014,37.62
4/08/2014,37.14
5/08/2014,37.6
6/08/2014,38.91
7/08/2014,38.67
8/08/2014,38.48
11/08/2014,38.83
